service_id,date,exception_type
fc73eb8fc73e9,20241225,1
fc73eb8fc73ea,20241225,1
3486182348616,20241225,1
3486182348617,20241225,1
602df47602df2,20241225,1
602df47602df3,20241225,1
91fe67291fe65,20241225,1
91fe67291fe66,20241225,1
1c56a531c56a3,20241225,1
1c56a531c56a4,20241225,1
8fceb338fceb1,20241225,1
8fceb338fceb2,20241225,1
8fcef338fcef1,20241225,1
8fcef338fcef2,20241225,1
97fed5497fed3,20241225,1
97fed5497fed4,20241225,1
528133c528131,20241225,1
528133c528132,20241225,1
e4f481ce4f47f,20241225,1
e4f481ce4f480,20241225,1
5281f0c5281ee,20241225,1
5281f0c5281ef,20241225,1
8b394bf8b3949,20241225,1
8b394bf8b394a,20241225,1
7749a2f7749a0,20241225,1
7749a2f7749a1,20241225,1
8b39b6f8b39b4,20241225,1
8b39b6f8b39b5,20241225,1
95625f995625d,20241225,1
95625f995625e,20241225,1
4899e814899e6,20241225,1
4899e814899e7,20241225,1
7fc7f917fc7f7,20241225,1
7fc7f917fc7f8,20241225,1
489cb71489cb5,20241225,1
489cb71489cb6,20241225,1
d548babd548b8,20241225,1
d548babd548b9,20241225,1
dbb781bdbb77f,20241225,1
dbb781bdbb780,20241225,1
d54955bd54953,20241225,1
d54955bd54954,20241225,1
2cc9a462cc9a2,20241225,1
2cc9a462cc9a3,20241225,1
2cc9de62cc9dc,20241225,1
2cc9de62cc9dd,20241225,1
d5d9d53d5d9d3,20241225,1
d5d9d53d5d9d4,20241225,1
cb817a6cb8178,20241225,1
cb817a6cb8179,20241225,1
d5da153d5da13,20241225,1
d5da153d5da14,20241225,1
e9df9abe9df98,20241225,1
e9df9abe9df99,20241225,1
f243f37f243f1,20241225,1
f243f37f243f2,20241225,1
014104b014102,20241225,1
014104b014103,20241225,1
e3ee7a3e3ee78,20241225,1
e3ee7a3e3ee79,20241225,1
79572d479572b,20241225,1
79572d479572c,20241225,1
4eef0594eef03,20241225,1
4eef0594eef04,20241225,1
fc24422fc2440,20241225,1
fc24422fc2441,20241225,1
30d3f0f30d3ee,20241225,1
30d3f0f30d3ef,20241225,1
646aeee646aec,20241225,1
646aeee646aed,20241225,1
2db845a2db843,20241225,1
2db845a2db844,20241225,1
ffbff77ffbff5,20241225,1
ffbff77ffbff6,20241225,1
476308f476306,20241225,1
476308f476307,20241225,1
4c5638d4c5636,20241225,1
4c5638d4c5637,20241225,1

